first_name,last_name,max_daily_payment,payment_count,payment_date,suspicious_activity,total_amount
SYLVIA,ORTIZ,5.99,3,2005-07-07,1,10.97
TAMMY,SANDERS,2.99,3,2005-07-12,1,4.970000000000001
TAMMY,SANDERS,2.99,3,2005-07-28,1,5.970000000000001
TAMMY,SANDERS,5.99,3,2005-07-30,1,15.97
TANYA,GILBERT,4.99,4,2005-07-31,1,10.96
TANYA,GILBERT,6.99,3,2005-07-29,1,13.97
TANYA,GILBERT,8.99,3,2005-07-28,1,16.97
TED,BREAUX,8.99,3,2005-07-09,1,16.97
TED,BREAUX,8.99,3,2005-07-31,1,18.97
TERRANCE,ROUSH,4.99,3,2005-07-27,1,9.97
TERRANCE,ROUSH,9.99,3,2005-07-07,1,12.97
TERRENCE,GUNDERSON,10.99,3,2005-07-31,1,18.97
TERRENCE,GUNDERSON,4.99,4,2005-07-27,1,14.96
TERRENCE,GUNDERSON,4.99,4,2005-07-30,1,11.96
TERRI,VASQUEZ,5.99,3,2005-07-06,1,11.97
TERRY,CARLSON,2.99,3,2005-07-28,1,6.970000000000001
THELMA,MURRAY,4.99,3,2005-07-28,1,8.97
THEODORE,CULP,5.99,3,2005-07-27,1,11.97
THEODORE,CULP,6.99,4,2005-07-12,1,13.96
THEODORE,CULP,6.99,4,2005-07-29,1,17.959999999999997
THEODORE,CULP,9.99,3,2005-07-30,1,14.97
THERESA,WATSON,4.99,3,2005-07-09,1,10.97
TIFFANY,JORDAN,2.99,3,2005-07-27,1,4.970000000000001
TINA,SIMMONS,7.99,4,2005-07-10,1,23.96
TODD,TAN,4.99,4,2005-07-11,1,14.96
TOM,MILNER,4.99,3,2005-07-07,1,8.97
TOM,MILNER,6.99,3,2005-07-06,1,13.97
TOMMY,COLLAZO,10.99,2,2005-07-29,1,20.98
TOMMY,COLLAZO,4.99,3,2005-07-31,1,12.97
TOMMY,COLLAZO,6.99,5,2005-07-28,1,29.950000000000003
TONY,CARRANZA,8.99,3,2005-07-29,1,14.97
TONYA,CHAPMAN,6.99,3,2005-07-27,1,15.97
TRACEY,BARRETT,7.99,5,2005-07-29,1,20.950000000000003
TRACY,COLE,5.99,3,2005-07-29,1,15.97
TROY,QUIGLEY,4.99,3,2005-07-08,1,8.97
TYLER,WREN,4.99,3,2005-07-07,1,8.97
TYRONE,ASHER,7.99,3,2005-07-11,1,13.97
VELMA,LUCAS,2.99,4,2005-07-27,1,9.96
VICTOR,BARKLEY,9.99,3,2005-07-30,1,21.97
VINCENT,RALSTON,5.99,3,2005-07-31,1,11.97
VINCENT,RALSTON,7.99,3,2005-07-12,1,9.97
VIOLA,HANSON,4.99,3,2005-07-10,1,9.97
VIOLA,HANSON,5.99,3,2005-07-31,1,15.97
VIOLET,RODRIQUEZ,4.99,3,2005-07-27,1,10.97
VIRGIL,WOFFORD,4.99,3,2005-07-07,1,10.97
VIRGIL,WOFFORD,4.99,3,2005-07-10,1,12.97
VIRGIL,WOFFORD,8.99,4,2005-07-08,1,17.96
VIRGINIA,GREEN,2.99,3,2005-07-09,1,4.970000000000001
WADE,DELVALLE,4.99,4,2005-07-12,1,14.96
WADE,DELVALLE,6.99,3,2005-07-06,1,12.97
WALLACE,SLONE,3.99,3,2005-07-27,1,9.97
WANDA,PATTERSON,8.99,3,2005-07-30,1,12.97
WARREN,SHERROD,3.99,3,2005-07-29,1,7.970000000000001
WARREN,SHERROD,7.99,4,2005-07-12,1,20.96
WARREN,SHERROD,8.99,4,2005-07-28,1,19.96
WAYNE,TRUONG,7.99,3,2005-07-27,1,15.97
WENDY,HARRISON,2.99,3,2005-07-11,1,6.970000000000001
WILLIAM,SATTERFIELD,6.99,3,2005-07-29,1,8.97
WILLIE,HOWELL,4.99,3,2005-07-09,1,10.97
WILLIE,HOWELL,6.99,3,2005-07-29,1,12.97
WILMA,RICHARDS,10.99,3,2005-07-08,1,21.97
YOLANDA,WEAVER,5.99,3,2005-07-27,1,13.97
