first_name,last_name,email,payment_count,total_amount,average_payment,suspicious_activity
HILDA,HOPKINS,HILDA.HOPKINS@sakilacustomer.org,13,43.87,3.37,1
KEITH,RICO,KEITH.RICO@sakilacustomer.org,12,42.88,3.57,1
VICKIE,BREWER,VICKIE.BREWER@sakilacustomer.org,11,41.89,3.81,1
HOWARD,FORTNER,HOWARD.FORTNER@sakilacustomer.org,11,41.89,3.81,1
DEBBIE,REYES,DEBBIE.REYES@sakilacustomer.org,11,41.89,3.81,1
EVERETT,BANDA,EVERETT.BANDA@sakilacustomer.org,12,41.88,3.49,1
SCOTT,SHELLEY,SCOTT.SHELLEY@sakilacustomer.org,12,41.88,3.49,1
AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,11,40.89,3.72,1
ALFREDO,MCADAMS,ALFREDO.MCADAMS@sakilacustomer.org,11,40.89,3.72,1
BECKY,MILES,BECKY.MILES@sakilacustomer.org,11,40.89,3.72,1
GLENN,PULLEN,GLENN.PULLEN@sakilacustomer.org,11,40.89,3.72,1
CATHY,SPENCER,CATHY.SPENCER@sakilacustomer.org,11,40.89,3.72,1
CLINTON,BUFORD,CLINTON.BUFORD@sakilacustomer.org,12,40.88,3.41,1
ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,12,40.88,3.41,1
KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,13,40.87,3.14,1
JACOB,LANCE,JACOB.LANCE@sakilacustomer.org,11,39.89,3.63,1
ANTHONY,SCHWAB,ANTHONY.SCHWAB@sakilacustomer.org,11,39.89,3.63,1
RENEE,LANE,RENEE.LANE@sakilacustomer.org,12,39.88,3.32,1
EARL,SHANKS,EARL.SHANKS@sakilacustomer.org,12,39.88,3.32,1
DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,12,39.88,3.32,1
CHAD,CARBONE,CHAD.CARBONE@sakilacustomer.org,13,39.87,3.07,1
NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,13,39.87,3.07,1
REGINALD,KINDER,REGINALD.KINDER@sakilacustomer.org,11,38.89,3.54,1
KIM,CRUZ,KIM.CRUZ@sakilacustomer.org,11,37.89,3.44,1
CLARENCE,GAMEZ,CLARENCE.GAMEZ@sakilacustomer.org,11,37.89,3.44,1
BOBBY,BOUDREAU,BOBBY.BOUDREAU@sakilacustomer.org,14,37.86,2.7,1
GEORGIA,JACOBS,GEORGIA.JACOBS@sakilacustomer.org,11,36.89,3.35,1
CHRISTY,VARGAS,CHRISTY.VARGAS@sakilacustomer.org,12,36.88,3.07,1
CHESTER,BENNER,CHESTER.BENNER@sakilacustomer.org,11,35.89,3.26,1
CRAIG,MORRELL,CRAIG.MORRELL@sakilacustomer.org,11,35.89,3.26,1
SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,35.88,2.99,1
IDA,ANDREWS,IDA.ANDREWS@sakilacustomer.org,11,34.89,3.17,1
TRACEY,BARRETT,TRACEY.BARRETT@sakilacustomer.org,11,34.89,3.17,1
JAIME,NETTLES,JAIME.NETTLES@sakilacustomer.org,11,34.89,3.17,1
NORMAN,CURRIER,NORMAN.CURRIER@sakilacustomer.org,12,32.88,2.74,1
JOANNE,ROBERTSON,JOANNE.ROBERTSON@sakilacustomer.org,13,31.87,2.45,1
LEONARD,SCHOFIELD,LEONARD.SCHOFIELD@sakilacustomer.org,11,29.89,2.72,1
DEREK,BLAKELY,DEREK.BLAKELY@sakilacustomer.org,11,26.89,2.44,1
