average_payment_amount,customer_id,customer_name,payment_count,staff_id,staff_name,total_payment_amount
8.99,80,MARILYN ROSS,1,2,Jon Stephens,8.99
8.99,82,KATHRYN COLEMAN,2,1,Mike Hillyer,17.98
8.99,92,TINA SIMMONS,1,1,Mike Hillyer,8.99
9.49,260,CHRISTY VARGAS,2,1,Mike Hillyer,18.98
9.99,1,MARY SMITH,1,2,Jon Stephens,9.99
9.99,120,SYLVIA ORTIZ,1,1,Mike Hillyer,9.99
9.99,131,MONICA HICKS,1,1,Mike Hillyer,9.99
9.99,156,BERTHA FERGUSON,1,2,Jon Stephens,9.99
9.99,212,WILMA RICHARDS,1,2,Jon Stephens,9.99
9.99,274,NAOMI JENNINGS,1,2,Jon Stephens,9.99
9.99,368,HARRY ARCE,1,1,Mike Hillyer,9.99
9.99,398,ANTONIO MEEK,1,2,Jon Stephens,9.99
9.99,436,TROY QUIGLEY,1,1,Mike Hillyer,9.99
9.99,459,TOMMY COLLAZO,1,2,Jon Stephens,9.99
9.99,467,ALVIN DELOACH,1,2,Jon Stephens,9.99
9.99,469,WESLEY BULL,1,1,Mike Hillyer,9.99
9.99,48,ANN EVANS,1,2,Jon Stephens,9.99
9.99,492,LESTER KRAUS,1,1,Mike Hillyer,9.99
9.99,550,GUY BROWNLEE,1,2,Jon Stephens,9.99
9.99,583,MARSHALL THORN,1,1,Mike Hillyer,9.99
9.99,87,WANDA PATTERSON,1,2,Jon Stephens,9.99
