risk_rank,customer_id,customer_name,customer_country,customer_city,customer_home_store_id,payment_day,payment_count,payment_amount,history_days,history_payment_count,avg_payment_amount_30d,stddev_payment_amount_30d,amount_z_score,avg_payment_count_30d,stddev_payment_count_30d,count_z_score,off_home_staff_payment_count,off_home_staff_payment_share,most_frequent_staff_id,most_frequent_staff_name,most_frequent_staff_payment_count,main_category_id,main_category_name,main_category_payment_count,risk_score
133,312,MARK RINEHART,Saudi Arabia,Tabuk,2,2005-07-29,2,11.98,5,7,5.19,0.8349,8.1377,1.4,0.7071,0.8485,2,1.0,1,Mike Hillyer,2,1,Action,1,370.96
134,26,JESSICA HALL,Holy See (Vatican City State),Citt del Vaticano,2,2005-07-07,5,20.95,5,7,8.39,2.698,4.6568,1.4,0.7071,5.0912,4,0.8,1,Mike Hillyer,4,6,Documentary,2,365.01
135,522,ARNOLD HAVENS,Philippines,Santa Rosa,2,2005-07-30,5,29.95,8,12,7.61,4.4961,4.9687,1.5,0.7559,4.6301,4,0.8,1,Mike Hillyer,4,4,Classics,1,363.65
136,105,DAWN SULLIVAN,Tuvalu,Funafuti,1,2005-07-30,4,22.96,4,6,6.49,3.1038,5.3081,1.5,0.5774,4.3301,4,1.0,2,Jon Stephens,4,12,Music,1,362.23
137,45,JANET PHILLIPS,Chile,Antofagasta,1,2005-08-02,5,27.95,7,10,5.84,5.7238,3.8623,1.43,0.5774,6.1859,3,0.6,2,Jon Stephens,3,14,Sci-Fi,1,362.07
138,156,BERTHA FERGUSON,Nigeria,Ondo,1,2005-08-20,3,6.97,7,7,4.56,2.2991,1.0476,1.0,0.0,10.0,3,1.0,2,Jon Stephens,3,3,Children,1,361.91
139,82,KATHRYN COLEMAN,Ukraine,Simferopol,1,2005-07-30,3,19.97,7,8,6.42,2.5041,5.4123,1.14,0.4082,4.5491,1,0.3333,1,Mike Hillyer,2,1,Action,1,359.63
140,384,ERNEST STEPP,China,Huaian,2,2005-06-18,2,13.98,5,6,2.79,1.4846,7.5388,1.2,0.5,1.6,1,0.5,1,Mike Hillyer,1,10,Games,1,359.55
141,198,ELSIE KELLEY,Nigeria,Ikerre,2,2005-08-17,6,22.94,6,10,5.15,3.7562,4.7361,1.67,0.8944,4.8448,4,0.6667,1,Mike Hillyer,4,8,Family,2,358.12
142,21,MICHELLE CLARK,Bangladesh,Tangail,1,2005-08-20,4,32.96,10,16,5.58,4.2941,6.3753,1.6,0.7454,3.2199,1,0.25,1,Mike Hillyer,3,6,Documentary,2,356.61
143,414,VINCENT RALSTON,Mexico,Allende,1,2005-07-12,3,9.97,5,5,7.19,3.1145,0.8926,1.0,0.0,10.0,3,1.0,2,Jon Stephens,3,16,Travel,1,355.7
144,472,GREG ROBINS,Vietnam,Nam Dinh,1,2005-08-21,3,14.97,6,7,6.99,1.4128,5.6495,1.17,0.4472,4.0995,1,0.3333,1,Mike Hillyer,2,6,Documentary,1,355.63
145,450,JAY ROBB,Indonesia,Surakarta,1,2005-08-20,3,10.97,6,7,2.99,1.4156,5.6382,1.17,0.4472,4.0995,1,0.3333,1,Mike Hillyer,2,7,Drama,1,355.18
146,454,ALEX GRESHAM,Mexico,Uruapan,2,2005-08-20,4,27.96,4,7,5.23,3.9465,5.7589,1.75,0.5774,3.8971,1,0.25,2,Jon Stephens,3,15,Sports,2,352.27
147,540,TYRONE ASHER,Bulgaria,Ruse,1,2005-07-11,3,13.97,6,7,4.82,1.7187,5.3227,1.17,0.4472,4.0995,2,0.6667,2,Jon Stephens,2,2,Animation,1,349.23
148,271,PENNY NEAL,India,Kumbakonam,1,2005-07-31,2,12.98,6,7,2.99,1.4114,7.0793,1.17,0.4472,1.8634,1,0.5,2,Jon Stephens,1,15,Sports,1,349.07
149,441,MARIO CHEATHAM,Algeria,Batna,1,2005-07-29,5,18.95,6,9,5.32,3.3231,4.1021,1.5,0.6325,5.534,2,0.4,1,Mike Hillyer,3,3,Children,1,348.11
150,416,JEFFERY PINSON,Pakistan,Dadu,2,2005-06-16,3,4.97,5,5,3.19,1.4832,1.2001,1.0,0.0,10.0,0,0.0,2,Jon Stephens,3,14,Sci-Fi,1,348.0
151,447,CLIFFORD BOWENS,Russian Federation,Nabereznyje Telny,1,2005-07-30,3,17.97,7,8,4.7,2.6914,4.9294,1.14,0.4082,4.5491,2,0.6667,2,Jon Stephens,2,1,Action,1,346.98
152,541,DARREN WINDHAM,Italy,Livorno,2,2005-08-22,5,18.95,8,10,5.74,4.6178,2.8612,1.25,0.5345,7.0156,3,0.6,1,Mike Hillyer,3,13,New,1,346.92
153,473,JORGE OLIVARES,Indonesia,Lhokseumawe,2,2005-08-02,5,19.95,8,13,7.23,3.8042,3.3427,1.63,0.5345,6.314,3,0.6,1,Mike Hillyer,3,9,Foreign,2,345.13
154,53,HEATHER MORRIS,Japan,Nagareyama,1,2005-08-21,3,11.97,9,10,5.1,1.6152,4.2533,1.11,0.3536,5.3426,2,0.6667,2,Jon Stephens,2,13,New,1,343.74
155,476,DERRICK BOURQUE,Canada,Gatineau,1,2005-08-01,3,21.97,8,9,4.99,3.5027,4.8481,1.13,0.378,4.9608,0,0.0,1,Mike Hillyer,3,8,Family,1,342.75
156,520,MITCHELL WESTMORELAND,Vietnam,Nha Trang,2,2005-08-18,3,16.97,6,9,4.65,1.9644,6.2709,1.5,0.6325,2.3717,3,1.0,1,Mike Hillyer,3,6,Documentary,1,341.99
157,78,LORI WOOD,India,Rae Bareli,1,2005-07-28,3,15.97,7,9,3.7,2.0566,5.9655,1.29,0.5774,2.9692,2,0.6667,2,Jon Stephens,2,3,Children,1,341.03
158,268,NINA SOTO,India,Palghat (Palakkad),1,2005-07-10,3,12.97,10,11,4.49,2.2713,3.734,1.1,0.3333,5.7,3,1.0,2,Jon Stephens,3,3,Children,1,340.36
159,576,MORRIS MCCARTER,Taiwan,Fengshan,2,2005-07-31,5,21.95,5,10,8.38,2.7875,4.8682,2.0,0.7071,4.2426,2,0.4,2,Jon Stephens,3,2,Animation,1,340.01
160,577,CLIFTON MALCOLM,Taiwan,Tanshui,2,2005-07-28,3,21.97,4,7,5.98,2.4454,6.5378,1.75,0.5774,2.1651,2,0.6667,1,Mike Hillyer,2,8,Family,1,339.8
161,567,ALFREDO MCADAMS,Russian Federation,Serpuhov,2,2005-07-30,2,14.98,8,9,3.24,1.9066,6.1583,1.13,0.378,2.315,2,1.0,1,Mike Hillyer,2,2,Animation,1,335.78
162,275,CAROLE BARNETT,United States,Peoria,2,2005-08-21,4,19.96,9,14,5.21,2.3275,6.3387,1.56,1.0607,2.3046,2,0.5,2,Jon Stephens,2,10,Games,2,332.69
163,98,LILLIAN GRIFFIN,United Arab Emirates,al-Ayn,1,2005-07-29,3,16.97,4,5,5.24,2.062,5.69,1.25,0.5774,3.0311,2,0.6667,2,Jon Stephens,2,8,Family,1,331.87
164,77,JANE BENNETT,Brazil,Araatuba,2,2005-08-02,4,7.96,7,8,2.99,1.914,2.5974,1.14,0.4082,6.9985,3,0.75,1,Mike Hillyer,3,7,Drama,1,328.85
165,158,VERONICA STONE,United States,Greensboro,1,2005-08-02,4,15.96,9,13,5.1,2.2039,4.9291,1.44,0.6124,4.1732,1,0.25,1,Mike Hillyer,3,3,Children,1,327.36
166,349,JOE GILLILAND,Philippines,Imus,2,2005-08-02,3,18.97,9,12,5.1,2.5178,5.5096,1.33,0.5,3.3333,1,0.3333,2,Jon Stephens,2,12,Music,1,327.05
167,531,JAMIE WAUGH,Japan,Kuwana,2,2005-08-02,4,26.96,7,14,9.27,2.9209,6.0579,2.0,0.8165,2.4495,2,0.5,1,Mike Hillyer,2,13,New,1,325.8
168,343,DOUGLAS GRAF,Mexico,Mexicali,1,2005-07-28,2,15.98,4,5,7.49,1.2871,6.598,1.25,0.5774,1.299,2,1.0,2,Jon Stephens,2,5,Comedy,1,322.89
169,503,ANGEL BARCLAY,Japan,Ueda,1,2005-08-22,4,11.96,8,11,4.74,1.7487,4.131,1.38,0.5345,4.9109,2,0.5,2,Jon Stephens,2,10,Games,1,322.57
170,254,MAXINE SILVA,Brazil,Poos de Caldas,2,2005-07-10,4,19.96,5,9,5.78,2.4832,5.7097,1.8,0.866,2.5403,3,0.75,1,Mike Hillyer,3,10,Games,2,319.6
171,487,HECTOR POINDEXTER,Russian Federation,Pjatigorsk,2,2005-07-29,3,9.97,6,7,3.49,1.3748,4.7147,1.17,0.4472,4.0995,1,0.3333,2,Jon Stephens,2,1,Action,1,318.24
172,204,ROSEMARY SCHMIDT,Turkey,Usak,1,2005-08-22,3,17.97,10,13,5.59,2.219,5.5804,1.3,0.5774,2.9445,1,0.3333,1,Mike Hillyer,2,1,Action,2,318.22
173,262,PATSY DAVIDSON,Ecuador,Portoviejo,2,2005-07-12,4,26.96,7,9,4.27,5.4644,4.1518,1.29,0.5774,4.7013,2,0.5,2,Jon Stephens,2,2,Animation,1,317.11
174,257,MARSHA DOUGLAS,Mozambique,Beira,2,2005-07-27,5,18.95,4,6,8.99,3.4583,2.8815,1.5,0.5774,6.0622,2,0.4,2,Jon Stephens,3,6,Documentary,1,315.12
175,29,ANGELA HERNANDEZ,Japan,Shimonoseki,2,2005-08-18,4,21.96,7,10,5.84,3.0711,5.248,1.43,0.8165,3.1493,2,0.5,2,Jon Stephens,2,7,Drama,1,314.4
176,2,PATRICIA JOHNSON,United States,San Bernardino,1,2005-07-30,5,30.95,3,8,13.97,3.6,4.7157,2.67,0.7071,3.2998,4,0.8,2,Jon Stephens,4,16,Travel,2,313.62
177,214,KRISTIN JOHNSTON,United States,Sunnyvale,1,2005-08-19,3,15.97,6,8,6.32,1.7462,5.5262,1.33,0.6325,2.6352,2,0.6667,2,Jon Stephens,2,7,Drama,1,313.44
178,529,ERIK GUILLEN,India,Bhimavaram,2,2005-07-12,3,20.97,6,8,2.99,2.8914,6.2196,1.33,0.8944,1.8634,1,0.3333,2,Jon Stephens,2,4,Classics,1,311.35
179,150,DANIELLE DANIELS,Mexico,Hidalgo,2,2005-08-19,5,21.95,6,8,5.65,3.9253,4.1517,1.33,0.8944,4.0995,3,0.6,1,Mike Hillyer,3,14,Sci-Fi,2,311.05
180,427,JESUS MCCARTNEY,Brazil,Guaruj,2,2005-08-01,3,15.97,9,10,5.54,3.0433,3.4257,1.11,0.3536,5.3426,2,0.6667,1,Mike Hillyer,2,15,Sports,1,310.64
181,171,DOLORES WAGNER,Malaysia,Ipoh,2,2005-07-30,2,10.98,5,7,4.59,0.8978,7.1219,1.4,0.7071,0.8485,0,0.0,2,Jon Stephens,2,10,Games,1,310.33
182,276,BRANDY GRAVES,United States,Warren,1,2005-07-30,4,16.96,5,6,4.59,3.5033,3.5315,1.2,0.5,5.6,0,0.0,1,Mike Hillyer,4,7,Drama,1,309.26
183,215,JESSIE BANKS,Bulgaria,Stara Zagora,2,2005-08-23,4,9.96,8,10,3.24,1.9053,3.5284,1.25,0.5345,5.1448,2,0.5,2,Jon Stephens,2,3,Children,1,305.48
184,392,SEAN DOUGLASS,Ethiopia,Addis Abeba,2,2005-07-29,2,10.98,3,5,3.98,0.995,7.0318,1.67,0.7071,0.4714,1,0.5,2,Jon Stephens,1,7,Drama,1,305.41
185,279,DIANNE SHELTON,Iran,Tabriz,2,2005-07-09,3,20.97,4,6,5.49,2.5073,6.1759,1.5,1.0,1.5,2,0.6667,1,Mike Hillyer,2,5,Comedy,1,305.37
186,588,MARION OCAMPO,China,Weifang,1,2005-07-29,4,13.96,6,8,5.15,2.0367,4.3241,1.33,0.6325,4.2164,1,0.25,1,Mike Hillyer,3,4,Classics,2,304.45
187,254,MAXINE SILVA,Brazil,Poos de Caldas,2,2005-07-09,3,9.97,4,6,4.74,0.9557,5.4776,1.5,0.5774,2.5981,1,0.3333,2,Jon Stephens,2,1,Action,1,303.71
188,120,SYLVIA ORTIZ,Colombia,Dos Quebradas,2,2005-08-21,3,19.97,9,12,5.21,3.1102,4.746,1.33,0.5,3.3333,2,0.6667,1,Mike Hillyer,2,15,Sports,1,303.17
189,357,KEITH RICO,Slovakia,Bratislava,1,2005-07-11,3,16.97,6,7,3.82,3.1853,4.1278,1.17,0.4472,4.0995,2,0.6667,2,Jon Stephens,2,8,Family,1,301.43
190,197,SUE PETERS,China,Changzhou,2,2005-07-08,2,13.98,4,8,7.98,0.8247,7.2757,2.0,0.8165,0.0,1,0.5,1,Mike Hillyer,1,8,Family,1,301.03
191,28,CYNTHIA YOUNG,India,Munger (Monghyr),1,2005-07-31,4,15.96,8,10,4.49,3.6229,3.1666,1.25,0.5345,5.1448,4,1.0,2,Jon Stephens,4,1,Action,2,301.01
192,193,KATIE ELLIOTT,Kenya,Kisumu,2,2005-08-22,3,16.97,8,11,4.61,2.4423,5.0604,1.38,0.5345,3.0401,1,0.3333,2,Jon Stephens,2,8,Family,1,300.28
193,45,JANET PHILLIPS,Chile,Antofagasta,1,2005-07-09,2,14.98,5,6,3.79,1.7872,6.2624,1.2,0.5,1.6,0,0.0,1,Mike Hillyer,2,12,Music,1,298.49
194,181,ANA BRADLEY,United States,Memphis,2,2005-08-01,5,26.95,9,12,8.1,6.0648,3.1085,1.33,0.7071,5.1854,2,0.4,2,Jon Stephens,3,4,Classics,1,297.9
195,259,LENA JENSEN,India,Halisahar,2,2005-07-30,3,21.97,6,7,5.32,4.1275,4.0335,1.17,0.4472,4.0995,2,0.6667,1,Mike Hillyer,2,13,New,1,297.66
196,155,GAIL KNIGHT,Switzerland,Bern,1,2005-08-21,3,14.97,5,7,6.59,1.512,5.5451,1.4,0.7071,2.2627,1,0.3333,1,Mike Hillyer,2,2,Animation,1,296.35
197,66,JANICE WARD,Sweden,Malm,2,2005-08-21,4,13.96,8,10,4.11,2.8963,3.4,1.25,0.5345,5.1448,1,0.25,2,Jon Stephens,3,10,Games,1,295.34
198,410,CURTIS IRBY,Canada,Richmond Hill,2,2005-07-09,4,17.96,6,8,4.15,3.5983,3.837,1.33,0.6325,4.2164,3,0.75,1,Mike Hillyer,3,10,Games,1,294.97
199,587,SERGIO STANFIELD,Mexico,Celaya,1,2005-07-31,3,17.97,5,7,6.19,2.2808,5.1666,1.4,0.7071,2.2627,3,1.0,2,Jon Stephens,3,12,Music,1,294.55
200,106,CONNIE WALLACE,Russian Federation,Ivanovo,1,2005-08-01,3,20.97,7,10,5.99,2.6395,5.677,1.43,0.8165,1.9246,1,0.3333,1,Mike Hillyer,2,13,New,1,291.49
201,10,DOROTHY TAYLOR,Iran,Esfahan,1,2005-07-09,3,11.97,7,8,3.85,2.1907,3.7086,1.14,0.4082,4.5491,1,0.3333,1,Mike Hillyer,2,15,Sports,1,291.48
202,145,LUCILLE HOLMES,South Africa,Soshanguve,1,2005-08-19,4,15.96,8,10,4.24,3.8409,3.052,1.25,0.5345,5.1448,3,0.75,2,Jon Stephens,3,14,Sci-Fi,2,291.42
203,52,JULIE SANCHEZ,Spain,A Corua (La Corua),1,2005-08-22,3,15.97,10,14,4.79,2.2984,4.866,1.4,0.5774,2.7713,2,0.6667,2,Jon Stephens,2,12,Music,1,291.11
204,156,BERTHA FERGUSON,Nigeria,Ondo,1,2005-08-22,4,14.96,8,10,4.86,2.2925,4.4045,1.25,0.7559,3.6379,1,0.25,1,Mike Hillyer,3,11,Horror,1,290.32
205,354,JUSTIN NGO,Brazil,Santo Andr,2,2005-07-29,3,18.97,9,14,4.98,2.4454,5.7191,1.56,0.7906,1.8271,1,0.3333,2,Jon Stephens,2,10,Games,1,290.24
206,206,TERRI VASQUEZ,Brazil,Blumenau,1,2005-08-19,3,18.97,6,8,5.49,2.7342,4.9313,1.33,0.6325,2.6352,2,0.6667,2,Jon Stephens,2,3,Children,1,289.64
207,77,JANE BENNETT,Brazil,Araatuba,2,2005-06-18,2,12.98,5,6,3.99,1.5811,5.687,1.2,0.5,1.6,1,0.5,2,Jon Stephens,1,10,Games,1,285.48
208,433,DON BONE,Mozambique,Naala-Porto,1,2005-07-12,3,11.97,3,5,8.65,0.5803,5.7216,1.67,0.7071,1.8856,0,0.0,1,Mike Hillyer,3,10,Games,2,285.43
209,581,VIRGIL WOFFORD,Mexico,Jos Azueta,1,2005-08-20,3,12.97,5,6,4.39,2.1902,3.9183,1.2,0.5,3.6,3,1.0,2,Jon Stephens,3,9,Foreign,2,284.73
210,86,JACQUELINE LONG,Thailand,Songkhla,2,2005-08-01,3,20.97,10,12,6.49,3.4069,4.2508,1.2,0.4714,3.8184,0,0.0,2,Jon Stephens,3,15,Sports,1,284.58
211,132,ESTHER CRAWFORD,South Africa,Botshabelo,2,2005-08-01,4,22.96,8,14,5.61,3.4552,5.0221,1.75,0.9258,2.4303,2,0.5,1,Mike Hillyer,2,4,Classics,2,283.79
212,375,AARON SELBY,"Congo, The Democratic Republic of the",Mwene-Ditu,2,2005-08-02,3,18.97,6,9,5.32,2.3287,5.8624,1.5,1.2649,1.1859,2,0.6667,1,Mike Hillyer,2,10,Games,1,283.4
213,50,DIANE COLLINS,Sudan,Omdurman,1,2005-07-31,5,26.95,8,12,6.74,6.8538,2.9495,1.5,0.7559,4.6301,4,0.8,2,Jon Stephens,4,6,Documentary,1,282.88
214,342,HAROLD MARTINO,Brazil,Boa Vista,1,2005-07-12,3,19.97,4,5,5.24,3.3003,4.464,1.25,0.5774,3.0311,2,0.6667,2,Jon Stephens,2,5,Comedy,2,282.83
215,37,PAMELA BAKER,China,Nanyang,1,2005-08-20,4,14.96,6,7,6.16,4.532,1.9428,1.17,0.4472,6.3355,3,0.75,2,Jon Stephens,3,12,Music,2,282.78
216,84,SARA PERRY,Mexico,Atlixco,2,2005-07-11,3,18.97,7,10,5.13,2.8509,4.8551,1.43,0.5774,2.7218,1,0.3333,2,Jon Stephens,2,9,Foreign,1,282.52
217,419,CHAD CARBONE,India,Katihar,1,2005-08-02,4,13.96,10,14,4.29,2.3076,4.1923,1.4,0.7454,3.4883,2,0.5,2,Jon Stephens,2,4,Classics,2,282.34
218,533,JESSIE MILAM,China,Binzhou,1,2005-07-12,3,13.97,7,8,4.7,2.9845,3.1051,1.14,0.4082,4.5491,3,1.0,2,Jon Stephens,3,13,New,1,280.68
219,111,CARMEN OWENS,Venezuela,Caracas,1,2005-07-06,2,13.98,6,7,4.16,1.8339,5.3573,1.17,0.4472,1.8634,1,0.5,2,Jon Stephens,1,11,Horror,1,280.19
220,424,KYLE SPURLOCK,China,Shanwei,2,2005-07-30,4,14.96,6,9,3.82,2.3935,4.655,1.5,0.8944,2.7951,2,0.5,1,Mike Hillyer,2,7,Drama,2,280.05
221,446,THEODORE CULP,India,Uluberia,2,2005-07-12,4,13.96,5,9,6.78,2.1659,3.3141,1.8,0.5,4.4,3,0.75,1,Mike Hillyer,3,9,Foreign,2,279.57
222,467,ALVIN DELOACH,Mexico,Cuauhtmoc,2,2005-07-28,4,20.96,4,7,7.98,2.573,5.0438,1.75,1.0,2.25,2,0.5,1,Mike Hillyer,2,11,Horror,1,279.25
223,450,JAY ROBB,Indonesia,Surakarta,1,2005-07-11,2,12.98,6,8,4.49,1.3741,6.1812,1.33,0.6325,1.0541,0,0.0,1,Mike Hillyer,2,9,Foreign,1,278.87
224,211,STACEY MONTGOMERY,China,Fuyu,1,2005-07-10,3,14.97,5,7,7.99,1.416,4.9322,1.4,0.7071,2.2627,2,0.6667,2,Jon Stephens,2,14,Sci-Fi,1,278.51
225,373,LOUIS LEONE,Philippines,Tanauan,1,2005-07-30,3,14.97,8,11,5.24,2.2506,4.325,1.38,0.5345,3.0401,2,0.6667,2,Jon Stephens,2,13,New,2,277.54
226,313,DONALD MAHON,China,Ezhou,2,2005-06-19,2,12.98,4,5,3.24,1.7064,5.7095,1.25,0.5774,1.299,1,0.5,1,Mike Hillyer,1,13,New,1,277.35
227,363,ROY WHITING,Kenya,Nyeri,2,2005-07-12,3,12.97,8,9,5.36,2.3834,3.1914,1.13,0.378,4.9608,0,0.0,2,Jon Stephens,3,1,Action,1,276.48
228,139,AMBER DIXON,Taiwan,Touliu,1,2005-07-09,3,17.97,4,6,4.74,2.8682,4.6144,1.5,0.5774,2.5981,2,0.6667,2,Jon Stephens,2,7,Drama,1,275.85
229,244,VIOLA HANSON,Philippines,Lapu-Lapu,2,2005-07-10,3,9.97,5,6,5.59,1.1393,3.8462,1.2,0.5,3.6,2,0.6667,1,Mike Hillyer,2,13,New,1,275.18
230,55,DORIS REED,Russian Federation,Balaiha,2,2005-08-19,3,13.97,6,7,5.16,2.5596,3.444,1.17,0.4472,4.0995,2,0.6667,1,Mike Hillyer,2,15,Sports,1,274.08
231,273,PRISCILLA LOWE,Mexico,Salamanca,2,2005-07-12,4,19.96,8,10,6.24,5.2806,2.5987,1.25,0.5345,5.1448,3,0.75,1,Mike Hillyer,3,1,Action,2,273.29
232,341,PETER MENARD,Netherlands,Ede,1,2005-07-29,2,12.98,4,5,4.24,1.4961,5.8435,1.25,0.5774,1.299,0,0.0,1,Mike Hillyer,2,13,New,1,272.71
233,540,TYRONE ASHER,Bulgaria,Ruse,1,2005-08-02,4,24.96,5,9,7.98,3.6661,4.6311,1.8,0.866,2.5403,2,0.5,1,Mike Hillyer,2,6,Documentary,1,271.45
234,445,MICHEAL FORMAN,Argentina,Escobar,1,2005-08-02,2,17.98,9,12,3.65,2.5981,5.5143,1.33,0.5,1.3333,1,0.5,2,Jon Stephens,1,15,Sports,1,270.57
235,391,CLARENCE GAMEZ,Japan,Izumisano,1,2005-07-10,2,12.98,6,8,3.15,1.7228,5.7039,1.33,0.6325,1.0541,1,0.5,2,Jon Stephens,1,6,Documentary,2,269.78
236,254,MAXINE SILVA,Brazil,Poos de Caldas,2,2005-08-19,4,13.96,8,11,4.86,2.3558,3.8623,1.38,0.7559,3.4725,2,0.5,2,Jon Stephens,2,12,Music,1,268.67
237,397,JIMMY SCHRADER,Russian Federation,Atinsk,1,2005-08-18,6,14.94,6,9,5.15,4.1613,2.3522,1.5,0.8944,5.0312,4,0.6667,2,Jon Stephens,4,15,Sports,1,268.36
238,205,EILEEN CARR,Paraguay,Ciudad del Este,2,2005-08-21,4,15.96,4,5,5.99,3.4593,2.8828,1.25,0.5774,4.7631,2,0.5,2,Jon Stephens,2,12,Music,1,268.21
239,207,GERTRUDE CASTILLO,Greenland,Nuuk,1,2005-08-20,4,25.96,6,11,8.32,4.3162,4.0881,1.83,0.7746,2.7972,4,1.0,2,Jon Stephens,4,10,Games,2,267.44
240,451,JIM REA,Mexico,El Fuerte,1,2005-07-08,3,16.97,6,8,4.65,2.7298,4.5119,1.33,0.6325,2.6352,1,0.3333,1,Mike Hillyer,2,4,Classics,1,266.2
241,550,GUY BROWNLEE,China,Zhoushan,2,2005-06-21,2,20.98,4,5,6.74,2.6271,5.4214,1.25,0.5774,1.299,1,0.5,1,Mike Hillyer,1,2,Animation,1,265.83
242,482,MAURICE CRAWLEY,Mexico,Coatzacoalcos,1,2005-08-22,3,12.97,7,9,6.13,1.6745,4.0849,1.29,0.5774,2.9692,2,0.6667,2,Jon Stephens,2,11,Horror,1,265.81
243,546,KELLY KNOTT,China,Sanya,1,2005-08-22,3,11.97,8,9,4.61,2.5576,2.8763,1.13,0.378,4.9608,0,0.0,1,Mike Hillyer,3,13,New,2,263.87
244,526,KARL SEAL,United States,Cape Coral,2,2005-07-27,4,16.96,5,9,8.38,2.6063,3.2912,1.8,0.5,4.4,0,0.0,2,Jon Stephens,4,14,Sci-Fi,2,263.65
245,107,FLORENCE WOODS,Argentina,Merlo,1,2005-07-27,2,12.98,6,8,5.99,1.2665,5.5218,1.33,0.6325,1.0541,1,0.5,1,Mike Hillyer,1,5,Comedy,1,262.49
246,244,VIOLA HANSON,Philippines,Lapu-Lapu,2,2005-07-31,3,15.97,6,11,6.48,1.8639,5.0906,1.83,0.7746,1.5062,2,0.6667,1,Mike Hillyer,2,5,Comedy,1,262.14
247,572,SIDNEY BURLESON,Poland,Czestochowa,1,2005-08-02,4,13.96,9,12,5.76,3.3805,2.4244,1.33,0.5,5.3333,1,0.25,1,Mike Hillyer,3,1,Action,1,261.97
248,389,ALAN KAHN,China,Emeishan,1,2005-08-02,3,10.97,11,12,5.08,3.5599,1.6545,1.09,0.3162,6.0371,2,0.6667,2,Jon Stephens,2,1,Action,1,260.63
249,420,JACOB LANCE,United States,El Monte,1,2005-08-01,3,20.97,8,11,4.99,4.1009,3.8976,1.38,0.5345,3.0401,2,0.6667,2,Jon Stephens,2,10,Games,1,260.44
250,327,LARRY THRASHER,Turkey,Adana,2,2005-08-23,3,23.97,8,12,4.86,4.079,4.685,1.5,0.7559,1.9843,2,0.6667,1,Mike Hillyer,2,5,Comedy,1,260.26
251,200,JEANNE LAWSON,Turkmenistan,Ashgabat,2,2005-08-20,2,16.98,6,7,5.49,2.5088,4.5806,1.17,0.4472,1.8634,2,1.0,1,Mike Hillyer,2,15,Sports,1,259.12
252,27,SHIRLEY ALLEN,Philippines,Davao,2,2005-07-31,3,18.97,7,9,3.99,3.8258,3.9163,1.29,0.5774,2.9692,2,0.6667,1,Mike Hillyer,2,16,Travel,1,259.06
253,6,JENNIFER DAVIS,United States,Laredo,2,2005-07-11,2,13.98,6,7,2.32,2.4183,4.8209,1.17,0.4472,1.8634,1,0.5,1,Mike Hillyer,1,13,New,1,258.74
254,73,BEVERLY BROOKS,Taiwan,Chiayi,2,2005-08-02,3,10.97,10,11,5.19,2.8953,1.9967,1.1,0.3333,5.7,1,0.3333,2,Jon Stephens,2,7,Drama,1,257.53
255,171,DOLORES WAGNER,Malaysia,Ipoh,2,2005-08-19,4,14.96,4,5,6.24,3.1966,2.7287,1.25,0.5774,4.7631,1,0.25,2,Jon Stephens,3,10,Games,1,257.04
256,11,LISA ANDERSON,Japan,Sagamihara,2,2005-07-30,2,16.98,6,9,6.15,1.9403,5.5808,1.5,0.6325,0.7906,1,0.5,1,Mike Hillyer,1,7,Drama,1,256.95
257,151,MEGAN PALMER,China,Laiwu,2,2005-07-31,3,10.97,4,7,4.73,1.251,4.9859,1.75,1.0,1.25,3,1.0,1,Mike Hillyer,3,1,Action,1,256.93
258,181,ANA BRADLEY,United States,Memphis,2,2005-07-30,3,19.97,7,8,6.85,4.7024,2.791,1.14,0.4082,4.5491,1,0.3333,2,Jon Stephens,2,11,Horror,1,254.78
259,174,YVONNE WATKINS,Venezuela,Ocumare del Tuy,2,2005-08-01,3,16.97,6,7,5.49,3.882,2.9577,1.17,0.4472,4.0995,2,0.6667,1,Mike Hillyer,2,6,Documentary,2,254.62
260,216,NATALIE MEYER,Brazil,Aparecida de Goinia,1,2005-07-11,2,14.98,5,6,3.79,2.279,4.9108,1.2,0.5,1.6,1,0.5,2,Jon Stephens,1,16,Travel,1,254.43
261,265,JENNIE TERRY,Czech Republic,Olomouc,2,2005-08-21,3,18.97,8,11,5.24,3.0065,4.5679,1.38,0.7559,2.1497,1,0.3333,2,Jon Stephens,2,9,Foreign,1,253.87
262,571,JOHNNIE CHISHOLM,Poland,Plock,2,2005-07-12,2,17.98,8,9,5.74,2.8141,4.3499,1.13,0.378,2.315,1,0.5,1,Mike Hillyer,1,8,Family,1,253.45
263,408,MANUEL MURRELL,Sri Lanka,Jaffna,1,2005-08-20,3,14.97,9,12,5.21,2.6779,3.6451,1.33,0.5,3.3333,1,0.3333,1,Mike Hillyer,2,4,Classics,1,252.47
264,42,CAROLYN PEREZ,Thailand,Pak Kret,2,2005-07-28,3,10.97,7,8,4.13,2.8501,2.3994,1.14,0.4082,4.5491,3,1.0,1,Mike Hillyer,3,6,Documentary,1,252.45
265,113,CINDY FISHER,Venezuela,Cuman,2,2005-08-17,2,13.98,3,6,7.98,0.995,6.0299,2.0,1.0,0.0,1,0.5,2,Jon Stephens,1,3,Children,1,251.2
